author,published_at,updated_at,like_count,text
@binarlestari2497,2024-07-27T20:45:35Z,2024-07-27T20:45:35Z,0,"<a href=""https://www.youtube.com/watch?v=77JPtOtYraE&amp;t=4418"">1:13:38</a> anjir 😂😂😂😂😢😢"
@RaraFazoyha,2024-07-27T17:58:36Z,2024-07-27T17:58:36Z,0,next ajak Acho!!
@sagungdwis8363,2024-07-27T15:31:38Z,2024-07-27T15:31:38Z,0,Syang bngtttt audio 😢
@qilgin4834,2024-07-27T14:22:55Z,2024-07-27T14:22:55Z,0,episode favorite
@yoyog_urt,2024-07-27T12:07:11Z,2024-07-27T12:07:11Z,0,menyala chef kuuu
@nisuik,2024-07-27T11:50:33Z,2024-07-27T11:50:33Z,0,&quot;diemin aja kalo menurut lo ga penting&quot;. Nah.ini.. manteup
@19.muhammadraflysiregar44,2024-07-27T10:29:07Z,2024-07-27T10:29:07Z,0,Pernah nanya org knp pilih 02. Malah jawab &quot;kita kasih kesempatan kasian sekarang kasih ke dia&quot; agak kaget se baik itu pemilih indo😅
@wiradharma2625,2024-07-27T08:45:18Z,2024-07-27T08:45:18Z,0,Fedi tidak mempan dikasih bansos
@mohlimo,2024-07-27T08:12:28Z,2024-07-27T08:12:28Z,0,Pengen liat sang makhluk kegelapan coki pardede di skak disini
@dirgalasuta4262,2024-07-27T08:03:52Z,2024-07-27T08:03:52Z,1,"Panji itu lucu kalo lagi ngritik, tpi gak lucu kalo lgi nglucu"
@dirgalasuta4262,2024-07-27T08:03:10Z,2024-07-27T08:03:10Z,0,Ternyata Politik Dinasti Pandji Lebih Brutal dan Lebih Jorok .<br>Tunjuk2 pake 1 Jari  4 Jari Ke dia
@dirgalasuta4262,2024-07-27T08:02:46Z,2024-07-27T08:02:46Z,0,Panji anti politik dinasti tapi pro politik intoleransi
@lembaranbaru-1912,2024-07-27T07:46:54Z,2024-07-27T07:46:54Z,0,Audionya kurang bang
@user-fv1pw8bj7t,2024-07-27T06:16:37Z,2024-07-27T06:16:37Z,0,Bang suara di podcast mu kok kecil ya
@kid21go,2024-07-27T05:07:17Z,2024-07-27T05:07:17Z,0,ji suaranya kecil ji.
@bukanakunkantor,2024-07-27T04:42:35Z,2024-07-27T04:42:35Z,0,"Mau ngasih sedikit masukan buat bang Pandji dan tim kreatif, mungkin bisa dikasih semacam alat, penanda or something di mejanya buat penanda white move or black move jadi kalau udah jalan tinggal pencet alatnya terus ngasih informasi siapa yg jalan, soalnya dari episode pertama sering banget bintang tamu atau bang Pandjinya ngingetin siapa yang jalan karena kebingungan 😁"
@gerryabdillah9550,2024-07-27T04:08:53Z,2024-07-27T04:08:53Z,0,Akhirnya muncul juga raja terakhir nya
@katherinehutajulu4155,2024-07-27T03:30:36Z,2024-07-27T03:30:36Z,0,audionya bikin kuping sakit
@aireecho2155,2024-07-27T02:55:16Z,2024-07-27T02:55:16Z,0,"Udah bolak balik merhatiin speaker, ternyata audionya yg ga bener :)"
@saverraasurkhannn,2024-07-27T02:18:27Z,2024-07-27T02:18:27Z,0,BANGGGG MENSREA BANJARMASIN MASUKIN DONGGGGG
@muhiemariefatkuncahyo5353,2024-07-26T23:04:51Z,2024-07-26T23:04:51Z,0,Wah datangin mesut ozil
@zahraatsahrulqudwah1060,2024-07-26T18:33:15Z,2024-07-26T18:33:15Z,0,Ilmu fedi abangkuuuui
@minguk9015,2024-07-26T18:12:06Z,2024-07-26T18:12:06Z,0,Maju pilgub aja deh bos ya ampun.
@appleminzt3558,2024-07-26T17:37:00Z,2024-07-26T17:37:00Z,0,audio nya jelek benerrrr<br>jdi mengganggu
@ibrahimalie3570,2024-07-26T17:27:46Z,2024-07-26T17:27:46Z,1,Cuman kuat 25 menit karna kesimpulanny membosankan <br>Fedi Nuril cuman berlandaskan suka dan gak suka gak suka dan gak suka...<br>Btw mic benerin<br>Mic fedy bagus mic pandji Kacau
@shakyshake6248,2024-07-26T16:54:10Z,2024-07-26T16:54:10Z,0,Next bang &quot;segan abangku&quot; the tangsel man Marshel Widianto!!!🎉
@sylvester1687,2024-07-26T16:51:52Z,2024-07-26T16:51:52Z,0,Yg paling sok Kritik Dinasty tpi mempraktekkan dinasty di Stand up Community 😂😂😂<br>Nonton Roasting Total politik
@alyrizky5427,2024-07-26T16:16:20Z,2024-07-26T16:16:20Z,1,"Bang ganti shure atau Rode, biar dapet clarity nya. Plis ganti tu clip on"
@srisundarihardiyanti,2024-07-26T14:50:12Z,2024-07-26T14:50:12Z,0,Gokilll
@jatnikaalamsah7801,2024-07-26T14:38:11Z,2024-07-26T14:38:11Z,0,"bang, ajakin uki dari cokro tv tuh ikutan skakmat.."
@MuzibiAbdullah,2024-07-26T14:33:40Z,2024-07-26T14:33:40Z,0,"Maaf Mas Panji.. Tapi kayaknya Mas panji trlalu kbnyakan berpendpat disini.. Dan trlalu pnjang ngejelasin maksud prtanyaannya... Krn ini skak mat bintang tamu, jd gmna kl yg dominan diberikan ksempatan buat bintang tamunya brpendapat? <br>Sekali lg maaf ya Mas Panji... Ini pure saran dan masukan aja Mas.. Bkn krn gk suka sama Mas Panji dan pendapatnya Mas Panji... saya suka sama acara ini...."
@RamaDan-pn5in,2024-07-26T14:23:59Z,2024-07-26T14:23:59Z,2,Audio bang Pandji kecil banget 😢 gua kira headphone gua yg rusak 🫣
@galerygelar,2024-07-26T13:59:08Z,2024-07-26T14:00:16Z,0,"makanyaaaa tolong ya punya calon pemimpin tetap penting punya pendidikan tinggi yang beneran pinter, dan PENTING yang emang baik akhlaknya. kalo enggak ngerti excel doank itu gimana mau ngerti kebijakan dan diajak ngomong risiko bisnis apalagi negara, gimana visi ke depan, dst.😅"
@yogarizaldipratamaSHMH1086,2024-07-26T13:36:14Z,2024-07-26T13:36:14Z,0,Bang pandji berani gak ngundang presiden jokowi di acara skakmat?
@wisnugalih6073,2024-07-26T13:28:29Z,2024-07-26T13:28:29Z,0,Bang pandji maaf banget ini audio bikin gua harus skip
@royanhilmy5446,2024-07-26T12:52:12Z,2024-07-26T12:52:12Z,0,pandji gak laku di New York kah dan balik lagi fokus ngonten disini?
@peterliiin8296,2024-07-26T12:45:59Z,2024-07-26T12:45:59Z,0,Audionya jelek ih
@hengkikristian9216,2024-07-26T08:57:11Z,2024-07-26T08:57:11Z,0,Hulusy reuni sma fahri😂😂
@krisnawisnunatrian7555,2024-07-26T08:50:49Z,2024-07-26T08:50:49Z,0,GUE DUKUNG FEDI!! GA SALAH DARI DULU IDOLAIN DIA
