author,published_at,updated_at,like_count,text
@austinwardhani,2024-07-29T08:19:03Z,2024-07-29T08:41:38Z,0,"dulu jahat ngehujat jokowi, setelah prabowo gabung jokowi, si Fahri jadi SLOW MOTIOOOOON, <br><br>DULU JELEK2IN JOKOWI, SEKARANG GABUNG PRABOWO/JOKOWI KARENA GAK MUNGKIN SATU PERAHU GELORA DAN PKS, DAN GELORA TERPINGGIRKAN JIKA DISANDINGKAN DENGAN PKS, SAYANG YA... HARIMAU DULU YANG GANAS JADI KUCING RUMAHAN DENGAN JAWABAN JAWABAN DIPLOMATIS SEAKAN MEMBENARKAN YANG SALAH"
@JejakDigitalKU,2024-07-29T07:05:27Z,2024-07-29T07:05:27Z,0,"Usul tambah cess-clock di meja om, biar gak lupa mulu siapa yang jatah gerak."
@bakubantah6520,2024-07-29T06:38:18Z,2024-07-29T06:38:18Z,0,"Kuliah <a href=""https://www.youtube.com/watch?v=g0Doh6BYS6k&amp;t=85"">1:25</a> menit."
@iskaf4187,2024-07-29T06:04:52Z,2024-07-29T06:04:52Z,0,"SELAIN MASA PEMILU 2024 GW SETUJU SEMUA DENGAN BUNG FAKHRI, TERLEBIH KETIKA LIDAHNYA BELUM KAKU DALAM MENGKRITIK PEMERINTAH<br><br>GW HARAP KEDEPAN BUNG FAKHRI BISA KRITIS LAGI KEPADA SIAPAPUN YG MELENCENG DARI KEADILAN HUKUM, MORAL, DAN ETIKA"
@anggapratama5793,2024-07-28T17:57:51Z,2024-07-28T17:57:51Z,1,"Menit <a href=""https://www.youtube.com/watch?v=g0Doh6BYS6k&amp;t=1958"">32:38</a> PNS gak bisa donk jadi bupati kalo pake pola nya bang fahri, mesti ada karier di partai, sementara PNS gak boleh menjadi anggota partai... Solusi nya gimana?"
@afe679,2024-07-28T16:48:47Z,2024-07-28T16:48:47Z,0,"Kata si panji, Prabowo di debat emosi, woy itu mantan tentara boss...<br>Coba opung luhut atau prajurit TNI lain di colek, ya sama saja reaksinya....<br>Biasa aja itu woyy...<br>Klo lu yg di colek terus emosi, itu baru aneh....<br>Si panji manusia ular ini ada2 aja"
@ariefsyaifudin6527,2024-07-28T07:58:22Z,2024-07-28T07:58:22Z,0,Fahri sering kritik. Pemeritah tapi dukung. Aneh kalau orng kaya dia di sebut.
@muhammadqadri7246,2024-07-28T06:24:37Z,2024-07-28T06:24:37Z,0,Berharap Nara sumber berikutnya &quot;Alvin Lim&quot;.
@ryzkifebrian4204,2024-07-28T03:51:34Z,2024-07-28T03:51:34Z,0,"&quot;kita bisa atur ritme peperangan, kalau yang berperang itu (bidak) yang kecil kecil, peperangan akan menjadi lama&quot; - Fahri Hamzah"
@boygayo951,2024-07-27T20:51:15Z,2024-07-27T20:51:15Z,0,Kasi minum dong tamunya bro... Ga enak kosongan bgtu
@asrulhadi6857,2024-07-27T15:20:43Z,2024-07-27T15:20:43Z,0,Ngabalin 2
@adisulastrawan7075,2024-07-27T13:58:51Z,2024-07-27T13:58:51Z,0,Bang coba undang Bambang pacul
@myadb21,2024-07-27T11:54:11Z,2024-07-27T11:54:11Z,0,"seumur hidup males banget denger nama Fahri Hamzah, setelah nonton konten ini pandangan saya berubah 180 derajat. thanks bang Pandji."
