author,published_at,updated_at,like_count,text
@Ronling157,2024-07-13T11:15:46Z,2024-07-13T11:15:46Z,0,Saya pendukung dan pemilih Prabowo saya lebih suka anies daripada ganjar. Awalnya Saya suka ke ganjar daripada anies seandainya Prabowo gak maju. Namun karena ganjar menolak piala dunia u20 hilanglah rasa kekaguman saya sehingga saya menyukai anies
@udawahyuhamidi4999,2024-07-13T04:27:01Z,2024-07-13T04:27:01Z,1,"Saran bang Pandji, untuk tampilan caturnya jgn dari atas, pake yg kaya di game catur aja, biar yg demen catur dqn nonton bisa paham posisi nya lg seperti apa 😁🙏"
@SalmiyahSalmiyah-r7b,2024-07-13T03:37:51Z,2024-07-13T03:37:51Z,0,Omongan pak Anis semua terbukti 😂
@Jackxander93,2024-07-12T16:13:08Z,2024-07-12T16:13:08Z,0,Kita di tuntut berilmu untuk takut dengan tuhan
@fhnchannel5607,2024-07-12T03:58:56Z,2024-07-12T03:58:56Z,0,kereen emang jawaban2 nya negarawan panji keren bikin acara gini salut
@salimyahya6419,2024-07-11T23:25:36Z,2024-07-11T23:26:53Z,0,"Yuk bisa yuk 2029 jangan becanda lagi milih calon presidennya, udah cukup becandanya pada dari 2014 ampe sekarang. Ini kalo yg di undang si anu mah 5 menit juga kelar game nya, kebanyakan yo ndak tau jangan tanya saya. 😂"
@johandiredja7955,2024-07-11T06:43:39Z,2024-07-11T06:43:39Z,1,"saya tidak terllalu mengerti tentang catur, tapi saya menikmati pembicaraan antara Bang Pandji dan Pak Anies, saya bisa merasakan seberapa dalam pemikiran Pak Anies sebagai politisi."
@indahyunia4671,2024-07-11T01:18:11Z,2024-07-11T01:18:11Z,1,Keren banget abah gw bisa main catur sambil podcast. Jawabannya ilmu semua &amp;  caranya sangat hati2❤
@oneeyedprince,2024-07-10T17:18:40Z,2024-07-10T17:18:40Z,0,Abis nonton skakmat sahroni trs mampir kemari lagi berasa langit &amp; bumi😂
@ryanpw8827,2024-07-10T15:43:28Z,2024-07-10T15:43:28Z,0,"Di menit ke 15 terjawab kenapa investor ikn pada kabur yaa karna ulahnya  mereka sendiri yg suka otak atik aturan main, akhirnya rakyat yg diperas abis-abisan"
@TheBongkrek,2024-07-10T14:49:40Z,2024-07-10T14:49:40Z,0,Ngobrol nya jadi kurang blasss krn wawancaranya sambil mikir catur juga
@zulaimann49,2024-07-10T14:03:40Z,2024-07-10T14:03:40Z,0,Kebayang ngga sh klau yg diajak main catur sambil ngobrol.....seseorang yg itu....
@XiaoHidayat,2024-07-10T12:19:01Z,2024-07-10T12:19:01Z,0,"Biaya politik seperti di Jepang ada batasan yang tidak terlalu besar, dan terkait kampanye di atur arus sama setiap calon iklan politik tidak boleh lebih besar dan banyak, reall adu gagasan.. Baliho dan bilboard ukuran yg sama semuanya di atur oleh kpu setempat dan dana kampanye harus transparan dari mana dan di laporkan dan di audit"
@RidwanRF,2024-07-10T10:35:08Z,2024-07-10T10:35:08Z,0,ANIES IS HIM 💪💪💪
@hinoname9195,2024-07-10T06:44:30Z,2024-07-10T06:47:08Z,0,"yang paling tegang itu saat panji nanya ttg pak surya paloh, baru kali ini aku nunggu jawaban pak anies yg diam  cukup lama dan pas udh dijwab trnyata jawabannya dalem bngt❤"
@wahyuutomo1975,2024-07-10T04:04:10Z,2024-07-10T04:04:10Z,0,Masih juga terpana dg Omong Kosong...
@zefashofihatul9292,2024-07-09T09:09:59Z,2024-07-09T09:09:59Z,0,"Udh lah, pisahin aja, content catur sama content ngobrol. Ribet liatnya"
@iimmuslim9793,2024-07-09T05:58:35Z,2024-07-09T06:23:45Z,1,"Bung Panji supaya lebih elegant Podcas SKAKMAT ini, kata2 <b>GUA nya</b> bisa dihapus...🙏🙏🙏<br><br><b>Penonton bingung dengan lisan Englis nya...</b>"
@AZKIYASOLUTION,2024-07-09T03:10:32Z,2024-07-09T03:10:32Z,0,"<a href=""https://www.youtube.com/watch?v=uO3Op7tKA1I&amp;t=878"">14:38</a> Paman MK jawabannya"
@arikurniaramdan9270,2024-07-08T19:12:18Z,2024-07-08T19:12:18Z,0,Makasih kontennya bpk panji. Sehat-sehat terus bpk panji.
@bobbypratamaeffendie,2024-07-08T18:39:53Z,2024-07-08T18:39:53Z,1,Good sharing 🤝
@taufiqtaufiq5324,2024-07-08T18:32:47Z,2024-07-08T18:32:47Z,0,Ya Allah tolonglah kami berilah pemimpin yg amanah jujur adil seperti P Anis bimbing dijalanmu &amp; pemimpin kami yg dholim khianat hancurkan beri balasan setimpal atas kejahatannya aamiin
@ummuibrahimayubasra224,2024-07-08T15:33:40Z,2024-07-08T15:33:40Z,0,Maa Syaa Allah
@suhartyroslan6377,2024-07-08T12:20:26Z,2024-07-08T12:20:26Z,1,"Gila nih mas Pandji bikin podcast, udah kontennya berat, tambah hrs mikir tanding catur. Host dan bintang tamunya jd serius. Tp sy suka."
@indah3900,2024-07-08T07:39:48Z,2024-07-08T07:39:48Z,1,Alhamdulillah dari pertama beliau gurbernur DKI....sudah memantapkan pilih beliau....dan bangga ada di barisan pendukung perubahan...sehat selalu pak Anies Baswedan..salam hormat
