author,published_at,updated_at,like_count,text
@RichardHendrawan-ho6el,2024-07-17T07:50:19Z,2024-07-17T07:50:19Z,0,Bang Roni lagi dong
@wargasipil5731,2024-07-17T02:52:21Z,2024-07-17T02:52:21Z,1,"hmm, main caturnya aja culas ya... hmm"
@rioreginaldi,2024-07-17T02:22:06Z,2024-07-17T02:22:06Z,0,bang catur nya beli dimana
@sumiati1759,2024-07-16T17:06:08Z,2024-07-16T17:06:08Z,2,"Uang hasil dari kerja keras rakyat , hanya untuk membiayaii orang&quot; yg tidak banyak mempunyai kapasitas  &amp;kemampuan ,"
@sumiati1759,2024-07-16T17:01:26Z,2024-07-16T17:01:26Z,0,Kira&quot;  mentri apaa yaa yg cock  untuk yg begini
@sumiati1759,2024-07-16T16:59:59Z,2024-07-16T16:59:59Z,0,Haduuuh   bang pandjii betaah amaat yaa ngadepiin yg bgniiaan
@solehsolihun_CUY,2024-07-16T14:14:17Z,2024-07-16T14:14:17Z,0,"keren udah ngundang Ebel versi lancar komunikasi, dan bisa korupsiii😅"
@yw5613,2024-07-16T08:10:02Z,2024-07-16T08:10:02Z,0,"Bang, saran biar pas podcast sembari  main catur ga gampang kehilangan arah lagi giliran siapa, coba pakein timer jam yg perlu pemain pencet pas selesai jalan."
@DalendraK,2024-07-16T02:18:26Z,2024-07-16T02:18:26Z,0,"Jawaban-jawaban yang dikasih rasanya gunung es. Hanya dasar aja, emang ga mungkin juga buka-bukaan depan kamera."
@XonGen,2024-07-15T11:26:47Z,2024-07-15T11:26:47Z,0,sayang banget bang cuma sebentar bikiin aja beberapa ronde putih sama hitam
@mbanzf,2024-07-14T19:12:32Z,2024-07-14T19:12:32Z,0,Inimah emang Pandji udah ngga suka sama orangnya
@IamNada,2024-07-14T16:50:37Z,2024-07-14T16:50:37Z,2,Ahmad saroni ini tipe2 politikus busuk yg sdh ada drdl di negara kt. Ya gini modelannya. Jawabannya tkg nipu semua dikira semua org tolol percaya2 aja omongannya
@Golberttt27,2024-07-14T16:28:25Z,2024-07-14T16:28:25Z,2,Menurutku ini episode paling cepat selama konten SKAKMAT ada dan bang Syahroni jago dalam multitasking sepertinya....
@ryachaerunisa5028,2024-07-14T15:53:45Z,2024-07-14T15:53:45Z,3,"I don&#39;t like that guy, Bang Pandji."
